name,query_ini_url,iso3166
Agape Leadership Dev - Surinam,https://tntdataserver.eu/dataserver/sur/dataquery/tntquery.aspx,sur
Campus Crusade for Christ - Argentina,https://tntdataserver.eu/dataserver/arg/dataquery/tntquery.aspx,arg
Campus Crusade for Christ - Chile,https://tntdataserver.eu/dataserver/chl/dataquery/tntquery.aspx,chl
Campus Crusade for Christ - Guyana,https://tntdataserver.eu/dataserver/guy/dataquery/tntquery.aspx,guy
Campus Crusade for Christ - Jamaica,https://tntdataserver.eu/dataserver/jam/dataquery/tntquery.aspx,jam
Cruzada Estudiantil - Costa Rica,https://tntdataserver.eu/dataserver/cri/dataquery/tntquery.aspx,cri
Cruzada Estudiantil - Dominican Republic,https://tntdataserver.eu/dataserver/dom/dataquery/tntquery.aspx,dom
Cruzada Estudiantil - Guatemala,https://tntdataserver.eu/dataserver/gtm/dataquery/tntquery.aspx,gtm
